Temperature, 200uM ICPD26 10uM Hsp90aN, 100uM ICPD26 10uM Hsp90aN, 50uM ICPD26 10uM Hsp90aN, 25uM ICPD26 10uM Hsp90aN, 12.5uM ICPD26 10uM Hsp90aN, 6.25uM ICPD26 10uM Hsp90aN, 3.125uM ICPD26 10uM Hsp90aN, 1.5625uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN
65.5,24.46596358,32.34583986,34.60840068,31.08186465,33.84603647,33.5138593,34.90420476,37.08001009,25.91725795,32.67000185,58.38167173
66,24.34495562,31.8554277,33.91546502,30.28501673,33.16629791,33.0072989,34.0453193,36.26219359,25.44234815,32.27578139,57.40179548
66.5,23.82379351,31.34508278,33.14946212,29.58501329,32.48116782,32.25528344,33.33660312,35.35658427,25.13113222,31.58770123,56.78546905
67,23.60084306,30.89672185,32.65491722,29.09484656,31.94191399,31.51663778,32.67897561,34.51696392,24.47089342,30.97698132,55.77811475
67.5,23.39999619,30.45192137,31.9510694,28.50625075,31.40666383,30.82373287,31.95757992,33.9406424,24.0293208,30.53718693,54.83645598
68,23.07058471,29.98768379,31.45940807,28.06472005,30.6770646,30.38496332,31.43304014,33.33016415,23.77595396,30.0891479,54.41116524
68.5,22.74908886,29.45795793,30.9519869,27.63154548,30.1627629,29.7379808,30.87532289,32.74843595,23.36512296,29.4929645,53.87441825
69,22.43043521,29.21146461,30.38452735,27.03427038,29.5990147,29.22360923,30.27807024,31.96211948,22.90368287,29.06331404,52.89519595
69.5,22.09215062,28.68456332,29.88937209,26.57988098,29.04086875,28.67545821,29.7145976,31.24895094,22.53223468,28.7145364,52.12583607
70,21.69574684,28.20538643,29.23313878,26.11657893,28.53851268,28.12566391,29.20347906,30.65211973,22.27155973,28.07039495,51.51023235
70.5,21.40066922,27.8708896,28.7581336,25.62685969,27.95561804,27.55583167,28.60018819,30.03880151,21.87239098,27.56248025,50.77697032
71,21.14726046,27.38760459,28.25643876,25.20921209,27.47506785,27.03004937,28.08402635,29.46059358,21.3873312,27.11316912,50.25940337
71.5,20.84358916,26.86645086,27.63833938,24.72047379,26.98797807,26.51641616,27.63586887,28.86816205,21.02486131,26.65504633,49.37383514
72,20.43724034,26.46616312,27.19106839,24.27514196,26.51008563,26.00257224,27.08509085,28.26570317,20.62725479,26.2043183,48.46227207
72.5,20.14120464,26.04765901,26.64661195,23.74674383,26.0551868,25.40006612,26.4861407,27.58455552,20.28475682,25.75458406,47.7083129
73,19.78522927,25.66990041,26.13209227,23.25544296,25.53759442,24.96354184,26.10971237,27.0135551,22.2631477,25.2487514,46.73042758
73.5,19.51029439,25.2667604,25.66900407,22.86594949,25.09091834,24.41357671,25.58266575,26.57792959,22.041305,24.85173317,46.05040564
74,19.23203523,25.03776608,25.24206091,22.42008087,24.7170723,24.0605431,25.25775031,26.0639353,21.7425803,24.45849546,45.59079663
74.5,19.12358718,24.85171501,25.02130813,22.21856641,24.46555276,23.82370743,24.82621064,25.69713189,21.50817825,24.21923693,44.99144405
75,18.92814908,24.61493858,24.6802472,21.86617838,24.21290695,23.43823911,24.41948959,25.34441373,21.29681341,23.90990638,44.7462679
75.5,18.77622644,24.54098319,24.44566517,21.78377966,23.97325856,23.24788281,24.28666616,25.40321965,21.18691715,23.5523003,44.98563109
76,18.46545103,24.23634045,24.02497785,21.3983622,23.74503348,22.785241,23.86593189,24.87495232,20.79586698,23.48017599,44.10683858
76.5,18.3349546,24.0468016,23.75415536,21.06638764,23.46532387,22.54685791,23.62055899,24.56006332,20.52948806,23.1316208,43.63286793
77,18.08692556,23.91219523,23.53115565,20.85918466,23.14477542,22.188848,23.34608552,24.31118232,20.27008469,22.77256428,43.37611728
77.5,17.97341115,23.55753196,23.1507337,20.63935302,22.90808347,21.91324659,23.01701381,23.918822,20.58452953,22.61304881,42.88731212
78,17.7399041,23.35164416,22.96846664,20.38768815,22.54564082,21.65732052,22.59490567,23.59208275,20.29226113,22.27044073,42.34895036
78.5,17.62547821,23.0036876,22.58347957,20.12545096,22.35731543,21.40677283,22.30951165,23.20642913,19.8877372,21.97502607,42.09588535
79,17.41387323,22.88155729,22.41713806,19.93910263,22.12418301,21.15698599,21.98662928,23.03847817,19.71302866,21.71489608,41.63533118
79.5,17.16345682,22.65260489,22.13062897,19.68383307,21.81211784,20.99864429,21.8189844,22.64779243,19.39694166,21.49156939,41.1165535
80,17.05596246,22.41198185,21.77258971,19.41754134,21.67218535,20.71653824,21.51235981,22.30563821,19.13132568,21.24842275,40.74402991
